"code","iso","country","AGSUB.1955","AGSUB.1956","AGSUB.1957","AGSUB.1958","AGSUB.1959","AGSUB.1960","AGSUB.1961","AGSUB.1962","AGSUB.1963","AGSUB.1964","AGSUB.1965","AGSUB.1966","AGSUB.1967","AGSUB.1968","AGSUB.1969","AGSUB.1970","AGSUB.1971","AGSUB.1972","AGSUB.1973","AGSUB.1974","AGSUB.1975","AGSUB.1976","AGSUB.1977","AGSUB.1978","AGSUB.1979","AGSUB.1980","AGSUB.1981","AGSUB.1982","AGSUB.1983","AGSUB.1984","AGSUB.1985","AGSUB.1986","AGSUB.1987","AGSUB.1988","AGSUB.1989","AGSUB.1990","AGSUB.1991","AGSUB.1992","AGSUB.1993","AGSUB.1994","AGSUB.1995","AGSUB.1996","AGSUB.1997","AGSUB.1998","AGSUB.1999","AGSUB.2000","AGSUB.2001","AGSUB.2002","AGSUB.2003","AGSUB.2004","AGSUB.2005","AGSUB.2006","AGSUB.2007","AGSUB.2008","AGSUB.2009","AGSUB.2010","AGSUB.2011"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,-0.328919,-0.2941932,-0.2873728,-0.2376279,-0.117581,-0.2322143,-0.1310055,-0.260706,-0.278913,-0.2313285,-0.1789894,-0.108898,-0.2486202,-0.2897848,-0.3193004,-0.3422,-0.2710465,-0.2029914,-0.1385598,-0.0648975,-0.0524096,-0.2265054,-0.2356529,-0.2565576,-0.193547,-0.1938676,-0.1776183,-0.118599,-0.0864277,-0.214959,-0.2334848,-0.0640221,-0.031781,0.0040157,-0.0251625,-0.035773,-0.0317736,-0.0324844,-0.0496185,-0.0486819,-0.0466144,-0.0215309,-0.2304016,-0.2225765,-0.2248855,-0.2282545,-0.2372994,-0.2806697,-0.2990461,-0.2543102,-0.2116376,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0.0593156,0.0787637,0.1031175,0.0748153,0.0893888,0.1100221,0.103303,0.0978162,0.0723127,0.0913242,0.1057861,0.0960207,0.1536474,0.1383574,0.1415537,0.1696979,0.1196213,0.079593,0.0628758,0.0405426,0.0495467,0.0561947,0.0755083,0.0482805,0.0372203,0.0502636,0.0458976,0.0893995,0.0562506,0.0464904,0.0525655,0.0816028,0.0533933,0.0388531,0.0363855,0.0635207,0.044376,0.0384783,0.0374961,0.0377577,0.0349978,0.0356258,0.0286977,0.0250483,0.021191,0.0052114,0.0051743,0.0051261,0.0051371,0.0056054,0.0049398,0.0347905,0.0260425,0.0206415,0.0173107,0.0122134,0.0127186
40,"AUT","Austria",NA,0.2064042,0.2326067,0.2591276,0.2870693,0.3084718,0.3498755,0.3748809,0.29004,0.3309407,0.4232926,0.3897482,0.3461923,0.3197845,0.3143938,0.2380479,0.2861117,0.1792226,-0.019362,-0.096476,0.0558315,0.0440881,0.1777346,0.2817251,0.2676972,0.1276199,0.1348579,0.225832,0.2194522,0.1597052,0.2668266,0.5543588,0.5918711,0.5244207,0.3977956,0.5919098,0.6619956,0.7149972,0.7990846,0.821491,0.3866847,0.344879,0.3898697,0.5258821,0.6490967,0.4233297,0.3437304,0.4329008,0.4708956,0.3964553,0.2486581,0.2138401,0.1431663,0.0998311,0.1037284,0.0657684,0.0488268
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1600167,0.5731949,-0.0595162,-0.1831967,-0.1912851,-0.070453,-0.0744716,-0.2725489,0.0298251,0.0486135,0.1059026,0.2248147,0.0173647,0.2558798,0.0722988,0.0121494,-0.0045012,0.0311248,0.0020372,-0.0505957,-0.0530538,0.0120466,-0.094787,-0.1137661,-0.0781225,0.013435,0.0383838,0.0627531,0.0255661,0.0466099,-0.036799,-0.182003,-0.1813937,-0.1580737,-0.3732375,-0.3057464,NA,NA
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,1.5630253,1.3312878,0.9887549,NA,NA,NA,NA,NA,NA,1.9152846,1.2590399,0.4085374,0.3333475,0.7856639,NA,1.3162786,1.2642674,1.517188,0.7327216,0.9927437,1.1931723,1.7760453,1.2338076,1.1595627,0.9114861,0.7062632,0.7381573,0.5115958,0.5929996,0.730438,0.521931,0.6307095,0.5561037,0.4270865,0.3976089,0.4044688,0.5572381,0.6878771,0.4558421,0.3406744,0.4048788,0.4587925,0.4268398,0.2645566,0.2087679,0.1529351,0.1484697,0.118106,0.0781827,0.0499596
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0052455,-0.0118088,-0.0123795,-0.0308175,-0.0089481,-0.0066418,-0.0079795,-0.0017952,-0.0039748,-0.0045177,-0.0026916,-0.0012543,-0.0046817,-0.0101916,-0.0123289,0.0024666,0.0012109,-0.0034289,-0.0024461,-0.013287,-0.011773,-0.0058431,0.0041329,-0.0117828,-0.0687455,-0.0391037,-0.024266,-0.0242952,0.0017638,-0.0052529,-0.0155204,0.0030182,-0.0078061,-0.0085835,0.0054129,0.0018655,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0811414,-0.0550832,-0.0620938,-0.0462194,-0.0919121,-0.0801115,-0.3483111,-0.3593512,-0.487028,-0.3666528,-0.1060337,-0.2176868,-0.2102008,-0.265757,-0.2937042,-0.2757495,-0.0635732,-0.3281271,-0.3253035,-0.3120272,0.0231751,-0.280979,-0.2787491,-0.2064986,-0.1265115,-0.1976151,-0.2007944,-0.138864,0.1012778,0.0488174,0.0405389,0.1060692,0.0928623,0.1098187,0.057926,0.0302249,0.0099618,0.0378674,0.0679869,0.0437166,0.0296706,0.030508,0.0189512,0.0184405,0.0092726,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3143688,-0.0281304,-0.2324029,-0.1882935,-0.3570889,-0.0905316,0.0552861,-0.0449452,0.021572,-0.0582229,-0.1032004,0.1340997,0.1825305,0.0374485,0.0022251,0.0336221,0.0127232,0.0149271,0.007311,0.0040863
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0031541,-0.0080739,-0.0092709,-0.0236637,-0.0081845,-0.015341,-0.0335745,-0.0055473,-0.0107118,-0.0105335,-0.0115592,-0.0070451,-0.0153006,-0.0237355,-0.0158359,0.0011192,-0.0001456,-0.0066972,-0.0040471,-0.0170164,-0.0114996,-0.0030661,0.0012409,-0.0031026,-0.0361618,-0.0185261,-0.0130298,-0.0241739,-0.0037167,-0.0019445,-0.0155894,0.0048011,-0.004957,-0.0120668,0.0211929,0.0075964,-0.0220676,-0.0703065,-0.1021403,-0.0870897,-0.0778025,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,-0.0298555,-0.0258446,-0.0336126,-0.0248375,-0.0382686,-0.0449871,-0.0547545,-0.0657436,-0.0957955,-0.0787764,-0.0599917,-0.0547474,-0.0786793,-0.100108,-0.0437506,-0.1168715,-0.2184575,-0.1906185,-0.1478696,-0.0912828,-0.0686661,-0.0967737,-0.1139398,-0.191459,-0.103431,-0.0749257,0.0118232,0.0260648,0.0189701,-0.0147334,-0.0124721,-0.0010322,-0.0150399,-0.0124144,-0.0028949,0.0010736,-0.0150654,-0.029661,-0.0171215,0.0023584,0.0017922,-0.0094396,-0.0084181,0.0068714,0.0110418,-0.0081205,-0.019285,-0.0354096,-0.0315727,NA,NA
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,0.0925876,0.0803746,0.0776359,0.0739466,0.1178939,0.1126651,0.122095,0.1200838,0.1130301,0.129263,0.1258481,0.1156431,0.0762161,0.1023217,0.1298763,0.196431,0.2112837,0.2426073,0.2584481,0.2672942,0.3194927,0.3093828,0.3000487,0.3185983,0.4215091,0.4409812,0.4651,0.3653829,0.2929154,0.3371618,0.4319901,0.32874,0.2664927,0.2173924,0.2383351,0.1683613,0.1545644,0.1869095,0.1985435,0.2347783,0.1805044,0.2490881,0.2893343,0.2404968,0.1244028,0.1539015,0.0969697,0.0801879,0.1424838,0.1237168,0.1016443
132,"CPV","Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.023092,-0.0411164,-0.0413126,-0.1099928,-0.0376684,-0.0658552,-0.0883309,-0.0250457,-0.0348017,-0.0207296,-0.0186555,-0.0139747,-0.0282688,-0.0638619,-0.0229819,0.0048671,0.0032156,-0.0021988,0.0011165,-0.0193843,-0.0096701,-0.0024005,0.0033435,-0.0040445,-0.0376967,-0.0183247,-0.0167652,-0.014233,0.0003504,0.0007483,-0.0102354,0.0005669,-0.0037663,-0.0039027,0.0115737,0.0022127,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",NA,NA,NA,NA,NA,0.2296719,0.206311,0.2415483,0.3460162,0.2488228,0.2554302,0.1204293,0.1685216,0.1414692,0.1227249,0.1734732,0.2226116,0.1889712,0.0189252,-0.0055868,-0.0425689,-0.0030292,0.1038888,0.0964745,0.0686909,0.0783084,0.0323808,0.050045,0.0620363,0.1362074,0.1762774,0.190129,0.1502341,0.0789312,0.0543595,0.007497,0.0866446,0.0992703,0.0985892,0.1006178,0.0791845,0.0635282,0.0849422,0.0882287,0.0958431,0.102372,0.0587405,0.0538738,0.0487911,0.0266401,0.0321077,0.0506824,0.0874968,0.0334093,0.052544,0.0312356,0.0368294
156,"CHN","China",-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4522774,-0.4806815,-0.4703077,-0.464308,-0.3938122,-0.1692443,-0.3282927,-0.4548472,-0.4561772,-0.3640825,-0.2925571,-0.1800707,-0.1969599,-0.1150607,0.0708692,0.0638623,0.0437072,0.0714073,0.0966094,0.0548535,0.0816947,0.044919,0.0358314,0.0674117,0.0650277,0.0592733,0.1653813,0.1100511,-0.0565812,0.1515487,0.2707278,NA
