"code","iso","country","AZE.2010","AZE.2011","AZE.2012"
4,"AFG","Afghanistan",0,0,0
8,"ALB","Albania",NA,NA,NA
12,"DZA","Algeria",NA,NA,NA
16,"ASM","American Samoa",NA,NA,NA
20,"AND","Andorra",NA,NA,NA
24,"AGO","Angola",0,0,0
660,"AIA","Anguilla",NA,NA,NA
28,"ATG","Antigua and Barbuda",100,100,100
32,"ARG","Argentina",50,50,50
51,"ARM","Armenia",100,100,100
533,"ABW","Aruba",NA,NA,NA
36,"AUS","Australia",86,90,90
40,"AUT","Austria",NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA
52,"BRB","Barbados",0,0,0
112,"BLR","Belarus",NA,NA,NA
56,"BEL","Belgium",NA,NA,NA
84,"BLZ","Belize",NA,NA,NA
204,"BEN","Benin",NA,NA,NA
60,"BMU","Bermuda",33,33,33
64,"BTN","Bhutan",NA,NA,NA
68,"BOL","Bolivia",43,43,43
70,"BIH","Bosnia and Herzegovina",NA,NA,NA
72,"BWA","Botswana",NA,NA,NA
76,"BRA","Brazil",30,30,30
92,"VGB","British Virgin Islands",0,0,0
96,"BRN","Brunei Darussalam",NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA
108,"BDI","Burundi",NA,NA,NA
116,"KHM","Cambodia",NA,NA,NA
120,"CMR","Cameroon",62,62,62
124,"CAN","Canada",50,50,50
132,"CPV","Cape Verde",0,0,0
136,"CYM","Cayman Islands",NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA
148,"TCD","Chad",NA,NA,NA
152,"CHL","Chile",40,40,40
156,"CHN","China",54,54,54
170,"COL","Colombia",56,56,56
174,"COM","Comoros",0,0,0
178,"COG","Congo",NA,NA,NA
184,"COK","Cook Islands",0,0,0
188,"CRI","Costa Rica",100,100,100
384,"CIV","Cote d'Ivoire",67,67,67
191,"HRV","Croatia",NA,NA,NA
192,"CUB","Cuba",50,50,50
196,"CYP","Cyprus",NA,NA,NA
203,"CZE","Czech Republic",NA,NA,NA
180,"COD","Dem. Rep. Congo",0,0,0
208,"DNK","Denmark",NA,NA,NA
262,"DJI","Djibouti",0,0,0
212,"DMA","Dominica",100,100,100
214,"DOM","Dominican Republic",100,100,100
218,"ECU","Ecuador",84,84,84
818,"EGY","Egypt",NA,NA,NA
222,"SLV","El Salvador",NA,NA,NA
226,"GNQ","Equatorial Guinea",100,100,100
232,"ERI","Eritrea",NA,NA,NA
233,"EST","Estonia",NA,NA,NA
231,"ETH","Ethiopia",71,71,71
234,"FRO","Faeroe Islands",NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA
242,"FJI","Fiji",40,40,40
246,"FIN","Finland",NA,NA,NA
250,"FRA","France",0,0,0
254,"GUF","French Guiana",NA,NA,NA
258,"PYF","French Polynesia",22,22,22
266,"GAB","Gabon",NA,NA,NA
270,"GMB","Gambia",NA,NA,NA
268,"GEO","Georgia",NA,NA,NA
276,"DEU","Germany",NA,NA,NA
288,"GHA","Ghana",0,0,0
292,"GIB","Gibraltar",NA,NA,NA
300,"GRC","Greece",0,0,0
304,"GRL","Greenland",NA,NA,NA
308,"GRD","Grenada",0,0,0
312,"GLP","Guadeloupe",NA,NA,NA
316,"GUM","Guam",NA,NA,NA
320,"GTM","Guatemala",20,20,20
324,"GIN","Guinea",100,100,100
624,"GNB","Guinea-Bissau",NA,NA,NA
328,"GUY","Guyana",NA,NA,NA
332,"HTI","Haiti",0,0,0
336,"VAT","Holy See",NA,NA,NA
340,"HND","Honduras",80,80,80
344,"HKG","Hong Kong",NA,NA,NA
348,"HUN","Hungary",NA,NA,NA
352,"ISL","Iceland",NA,NA,NA
356,"IND","India",32,32,32
360,"IDN","Indonesia",54,54,54
364,"IRN","Iran",0,0,0
368,"IRQ","Iraq",NA,NA,NA
372,"IRL","Ireland",NA,NA,NA
833,"IMN","Isle of Man",NA,NA,NA
376,"ISR","Israel",0,0,0
380,"ITA","Italy",100,100,100
388,"JAM","Jamaica",100,100,100
392,"JPN","Japan",43,43,43
400,"JOR","Jordan",NA,NA,NA
398,"KAZ","Kazakhstan",NA,NA,NA
404,"KEN","Kenya",50,50,50
296,"KIR","Kiribati",NA,NA,NA
414,"KWT","Kuwait",NA,NA,NA
417,"KGZ","Kyrgyzstan",0,0,0
418,"LAO","Laos",NA,NA,NA
428,"LVA","Latvia",NA,NA,NA
422,"LBN","Lebanon",NA,NA,NA
426,"LSO","Lesotho",NA,NA,NA
430,"LBR","Liberia",0,0,0
434,"LBY","Libya",NA,NA,NA
438,"LIE","Liechtenstein",NA,NA,NA
440,"LTU","Lithuania",NA,NA,NA
442,"LUX","Luxembourg",NA,NA,NA
446,"MAC","Macao",NA,NA,NA
807,"MKD","Macedonia",NA,NA,NA
450,"MDG","Madagascar",43,43,43
454,"MWI","Malawi",100,100,100
458,"MYS","Malaysia",100,100,100
462,"MDV","Maldives",NA,NA,NA
466,"MLI","Mali",NA,NA,NA
470,"MLT","Malta",NA,NA,NA
584,"MHL","Marshall Islands",NA,NA,NA
474,"MTQ","Martinique",NA,NA,NA
478,"MRT","Mauritania",NA,NA,NA
480,"MUS","Mauritius",100,100,100
175,"MYT","Mayotte",NA,NA,NA
484,"MEX","Mexico",37,37,37
583,"FSM","Micronesia",0,0,0
498,"MDA","Moldova",NA,NA,NA
492,"MCO","Monaco",NA,NA,NA
496,"MNG","Mongolia",100,100,100
499,"MNE","Montenegro",NA,NA,NA
500,"MSR","Montserrat",NA,NA,NA
504,"MAR","Morocco",NA,NA,NA
508,"MOZ","Mozambique",0,0,0
104,"MMR","Myanmar",0,0,0
516,"NAM","Namibia",NA,NA,NA
520,"NRU","Nauru",NA,NA,NA
524,"NPL","Nepal",NA,NA,NA
528,"NLD","Netherlands",NA,NA,NA
530,"ANT","Netherlands Antilles",0,0,0
540,"NCL","New Caledonia",80,80,80
554,"NZL","New Zealand",36,36,36
558,"NIC","Nicaragua",NA,NA,NA
562,"NER","Niger",NA,NA,NA
566,"NGA","Nigeria",50,50,50
570,"NIU","Niue",NA,NA,NA
574,"NFK","Norfolk Island",NA,NA,NA
408,"PRK","North Korea",NA,NA,NA
580,"MNP","Northern Mariana Islands",0,0,0
578,"NOR","Norway",NA,NA,NA
512,"OMN","Oman",0,0,0
586,"PAK","Pakistan",0,0,0
585,"PLW","Palau",NA,NA,NA
591,"PAN","Panama",100,100,100
598,"PNG","Papua New Guinea",14,14,14
600,"PRY","Paraguay",NA,NA,NA
604,"PER","Peru",56,58,58
608,"PHL","Philippines",40,40,40
612,"PCN","Pitcairn",NA,NA,NA
616,"POL","Poland",NA,NA,NA
620,"PRT","Portugal",100,100,100
630,"PRI","Puerto Rico",60,60,60
634,"QAT","Qatar",NA,NA,NA
638,"REU","Reunion",100,100,100
642,"ROU","Romania",NA,NA,NA
643,"RUS","Russia",0,0,0
646,"RWA","Rwanda",NA,NA,NA
654,"SHN","Saint Helena",NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA
662,"LCA","Saint Lucia",100,100,100
666,"SPM","Saint Pierre and Miquelon",NA,NA,NA
670,"VCT","Saint Vincent and the Grenadines",100,100,100
882,"WSM","Samoa",NA,NA,NA
674,"SMR","San Marino",NA,NA,NA
678,"STP","Sao Tome and Principe",0,0,0
682,"SAU","Saudi Arabia",NA,NA,NA
686,"SEN","Senegal",NA,NA,NA
688,"SRB","Serbia",NA,NA,NA
690,"SYC","Seychelles",100,100,100
694,"SLE","Sierra Leone",NA,NA,NA
702,"SGP","Singapore",NA,NA,NA
703,"SVK","Slovakia",NA,NA,NA
705,"SVN","Slovenia",NA,NA,NA
90,"SLB","Solomon Islands",0,0,0
706,"SOM","Somalia",0,0,0
710,"ZAF","South Africa",75,75,75
410,"KOR","South Korea",NA,NA,NA
724,"ESP","Spain",NA,NA,NA
144,"LKA","Sri Lanka",35,35,35
275,"PSE","State of Palestine",NA,NA,NA
736,"SDN","Sudan",NA,NA,NA
740,"SUR","Suriname",NA,NA,NA
744,"SJM","Svalbard and Jan Mayen Islands",NA,NA,NA
748,"SWZ","Swaziland",NA,NA,NA
752,"SWE","Sweden",NA,NA,NA
756,"CHE","Switzerland",NA,NA,NA
760,"SYR","Syria",NA,NA,NA
999,"TWN","Taiwan",NA,NA,NA
762,"TJK","Tajikistan",NA,NA,NA
834,"TZA","Tanzania",35,35,35
764,"THA","Thailand",NA,NA,NA
626,"TLS","Timor-Leste",NA,NA,NA
768,"TGO","Togo",NA,NA,NA
772,"TKL","Tokelau",NA,NA,NA
776,"TON","Tonga",NA,NA,NA
780,"TTO","Trinidad and Tobago",100,100,100
788,"TUN","Tunisia",NA,NA,NA
792,"TUR","Turkey",25,25,25
795,"TKM","Turkmenistan",NA,NA,NA
796,"TCA","Turks and Caicos Islands",NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA
800,"UGA","Uganda",100,100,100
804,"UKR","Ukraine",NA,NA,NA
784,"ARE","United Arab Emirates",NA,NA,NA
826,"GBR","United Kingdom",0,0,0
840,"USA","United States of America",44,44,44
850,"VIR","United States Virgin Islands",100,100,100
858,"URY","Uruguay",NA,NA,NA
860,"UZB","Uzbekistan",NA,NA,NA
548,"VUT","Vanuatu",NA,NA,NA
862,"VEN","Venezuela",86,86,86
704,"VNM","Viet Nam",43,43,43
876,"WLF","Wallis and Futuna Islands",NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA
887,"YEM","Yemen",NA,NA,NA
894,"ZMB","Zambia",NA,NA,NA
716,"ZWE","Zimbabwe",100,100,100
