"code","iso","country","PACOVW.1990","PACOVW.1991","PACOVW.1992","PACOVW.1993","PACOVW.1994","PACOVW.1995","PACOVW.1996","PACOVW.1997","PACOVW.1998","PACOVW.1999","PACOVW.2000","PACOVW.2001","PACOVW.2002","PACOVW.2003","PACOVW.2004","PACOVW.2005","PACOVW.2006","PACOVW.2007","PACOVW.2008","PACOVW.2009","PACOVW.2010","PACOVW.2011","PACOVW.2012"
4,"AFG","Afghanistan",0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.570175469,0.76946809,0.76946809,0.76946809,0.76946809
8,"ALB","Albania",2.658302434,2.658302434,2.658302434,2.658302434,2.658302434,2.929686119,2.929686119,4.352096793,4.352096793,6.545775426,6.545775426,6.545775426,6.71896447,6.71896447,9.655383233,8.689100675,9.655383233,9.655383233,9.700232103,9.700232103,9.700232103,9.700232103,9.700232103
12,"DZA","Algeria",3.299249163,3.299249163,3.299249163,3.303325014,3.303325014,3.303325014,3.303325014,3.303325014,3.303325014,3.303325014,3.303325014,3.303325014,3.303325014,3.303474746,3.303474746,3.303474746,3.303474746,3.303474746,3.303474746,3.303474746,3.303474746,3.303474746,3.303474746
16,"ASM","American Samoa",0.915376375,0.915376375,0.915376375,0.915376375,0.915376375,1.207517772,1.207517772,1.207517772,1.207517772,1.207517772,1.207517772,1.499659168,1.538611355,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773,1.626253773
20,"AND","Andorra",5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308,5.715822308
24,"AGO","Angola",10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532,10.60284532
660,"AIA","Anguilla",0,0,0,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.031614279,3.64659889,3.64659889,3.64659889,3.64659889,3.64659889,3.64659889
28,"ATG","Antigua and Barbuda",10.06148184,10.06148184,10.06148184,10.11126048,10.11126048,10.11126048,10.11126048,10.11126048,10.11126048,10.11126048,10.11126048,10.11126048,10.11126048,10.11126048,10.30948611,10.30948611,10.30948611,10.30948611,10.30948611,10.30948611,10.30948611,10.30948611,10.30948611
32,"ARG","Argentina",4.882492734,4.882492734,5.677717452,5.749531495,5.749531495,5.844674064,5.844674064,6.099981616,6.100051786,6.100051786,6.100051786,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987,6.102405987
51,"ARM","Armenia",11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,11.3987328,12.5706411,12.5706411,12.5706411,12.5706411,12.5706411,12.5706411,12.5706411,12.5706411,12.5706411,12.5706411,12.5706411
533,"ABW","Aruba",0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859,0.037547859
36,"AUS","Australia",8.577723856,8.577723856,8.866533209,8.976655141,8.976655141,9.215092683,9.215092683,9.342917142,9.51782909,9.625936347,9.886625219,9.927056999,10.642636,10.70494411,11.03186591,10.89809011,11.03186591,11.4221825,11.54211933,11.85484668,12.06268692,12.06467533,12.06467533
40,"AUT","Austria",15.80985877,15.80985877,15.81291219,15.82082333,15.82082333,15.82436252,15.82436252,15.90497923,15.91034407,15.96498001,15.97725241,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542,15.97911542
31,"AZE","Azerbaijan",10.83164583,10.83164583,10.83164583,11.00372869,11.00372869,11.00372869,11.00372869,11.00372869,11.00372869,11.00372869,11.00372869,11.00372869,11.00372869,11.05878722,11.71210852,11.71210852,11.71210852,11.71210852,11.71210852,11.71210852,11.71210852,11.71210852,11.71210852
44,"BHS","Bahamas",6.237578317,6.237578317,6.241509266,6.241509266,6.241509266,7.130681888,7.130681888,7.130681888,7.130681888,7.130681888,7.130681888,7.130681888,13.90165581,13.90165581,13.90165581,13.90165581,13.90165581,13.90165581,13.90165581,13.90165581,13.90165581,13.90165581,13.90165581
48,"BHR","Bahrain",1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794,1.271795794
50,"BGD","Bangladesh",0.24090192,0.24090192,0.24090192,0.24090192,0.24090192,0.24090192,0.24090192,4.746600784,4.746600784,4.752206128,4.752206128,5.172645053,5.172645053,5.172645053,5.174010906,5.173249723,5.174010906,5.175306765,5.175306765,5.175306765,5.185300335,5.185300335,5.185300335
52,"BRB","Barbados",0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478,0.091472478
112,"BLR","Belarus",6.424529227,6.424529227,6.526781538,6.619069642,6.619069642,6.961108243,6.961108243,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595,7.012595595
56,"BEL","Belgium",4.577684158,4.577684158,4.603978027,4.642372309,4.642372309,4.909889536,4.909889536,6.623438761,7.058007088,7.441622868,8.015444051,12.7926215,12.83386101,14.59970364,14.6567391,14.64872666,14.6567391,14.66350879,14.67420293,14.67528216,14.67708087,14.67708087,14.67708087
84,"BLZ","Belize",9.394785797,9.394785797,9.394785797,9.876980264,9.876980264,12.99387418,12.99387418,14.18708546,15.41318417,15.41318417,15.67674675,16.46326568,16.69509885,16.69509885,16.69834127,16.69834127,16.69834127,16.79445592,16.79445592,16.79468753,16.94314413,16.94314413,16.94314413
204,"BEN","Benin",16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989,16.7935989
60,"BMU","Bermuda",5.268214572,5.268214572,5.268214572,5.412329864,5.412329864,5.412329864,5.412329864,5.412329864,5.412329864,5.412329864,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105,5.476381105
64,"BTN","Bhutan",11.53331185,11.53331185,11.53331185,13.68824606,13.68824606,16.09402278,16.09402278,16.09402278,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275,16.34275
68,"BOL","Bolivia",5.625026562,5.625026562,5.813256907,5.834343599,5.834343599,7.772269452,7.772269452,15.26436308,15.26436308,15.26436308,15.26946441,15.26946441,15.26946441,15.26946441,15.58845592,15.58845592,15.58845592,15.58845592,15.58845592,15.58845592,15.58845592,15.58845592,15.58845592
70,"BIH","Bosnia and Herzegovina",0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.381188085,0.41202185,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148,0.424993148
72,"BWA","Botswana",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
76,"BRA","Brazil",7.347052534,7.347052534,7.347052534,7.767773154,7.767773154,8.750649729,8.750649729,9.894063974,10.8974199,11.44830624,11.65171391,11.90173364,12.2187889,12.22925265,12.39364465,12.25744536,12.39364465,12.43303146,12.45897764,12.49693613,12.50151107,12.50151107,12.50151107
92,"VGB","British Virgin Islands",5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597,5.46328597
96,"BRN","Brunei Darussalam",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
100,"BGR","Bulgaria",1.977225606,1.977225606,3.13811449,3.139130335,3.139130335,4.073806144,4.073806144,4.077807149,4.077807149,4.079215075,4.271753426,4.370682513,16.90206074,16.90206074,16.90560612,16.90560612,16.90560612,16.90560612,17,17,17,17,17
854,"BFA","Burkina Faso",13.67824043,13.67824043,13.67824043,13.67824043,13.67824043,13.67824043,13.67824043,13.84000723,13.84000723,13.84000723,13.84000723,13.84000723,13.84000723,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472
108,"BDI","Burundi",4.161177297,4.161177297,4.161177297,4.557221006,4.557221006,4.557221006,4.557221006,5.024013212,5.024013212,5.024013212,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653,5.185123653
116,"KHM","Cambodia",0.000247445,0.000247445,0.000247445,14.97648262,14.97648262,15.14739354,15.14739354,15.16486752,15.16486752,17,17,17,17,17,17,17,17,17,17,17,17,17,17
120,"CMR","Cameroon",8.233600997,8.233600997,8.233600997,8.233600997,8.233600997,8.247403673,8.247403673,8.363923703,8.363923703,8.363923703,9.483177759,9.846031608,9.846031608,9.846031608,10.67273895,10.67273895,10.67273895,10.72218249,10.8748272,10.94279596,11.0680583,11.0680583,11.0680583
124,"CAN","Canada",6.30472104,6.30472104,6.352297291,6.84365019,6.84365019,7.331773359,7.331773359,7.673243545,7.957413663,8.139652265,8.251234231,8.793932387,8.821342943,9.219068624,9.528115701,9.410814945,9.528115701,9.590296182,9.824537364,9.853471016,9.860954752,9.860954752,9.860954752
132,"CPV","Cape Verde",2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266
136,"CYM","Cayman Islands",8.086142716,8.086142716,9.114612065,9.114612065,9.114612065,9.114612065,9.114612065,10.3448698,10.3448698,10.3448698,10.3448698,10.3448698,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525,10.34637525
140,"CAF","Central African Republic",16.41011467,16.41011467,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963,16.49336963
148,"TCD","Chad",8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067,8.708221067
152,"CHL","Chile",6.958982346,6.958982346,6.958982346,6.95923668,6.95923668,7.686371275,7.686371275,7.704557572,7.810068251,7.810068251,7.81021079,7.81021079,7.81021079,7.81021079,7.844403434,7.834928785,7.844403434,7.844403434,7.844403434,7.855879842,8.056814886,8.056814886,8.056814886
156,"CHN","China",10.9703715,10.9703715,11.3734216,11.42840646,11.42840646,11.67370745,11.67370745,12.09130226,12.40052083,12.58260301,12.96598429,13.38839623,13.65739651,13.6624715,13.66697907,13.66603297,13.66697907,13.66959678,13.66981927,13.66981927,13.66981927,13.66981927,13.66981927
170,"COL","Colombia",12.92798536,12.92798536,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93160733,12.93238413,12.93348284,13.01150776,13.01150776,13.01225961,13.01150776,13.01225961,13.01254038,13.01254038,13.01254038,13.01254038,13.12807852,13.12807852
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"COG","Congo",5.446732307,5.446732307,5.446732307,6.810109329,6.810109329,6.810109329,6.810109329,6.810109329,6.810109329,7.817408479,7.817408479,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503,9.407968503
184,"COK","Cook Islands",0.16148743,0.16148743,0.16148743,0.17021648,0.17021648,0.17021648,0.17021648,0.846717877,1.078037709,1.078037709,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492,1.300628492
188,"CRI","Costa Rica",14.10999526,14.10999526,14.6476019,14.67060894,14.67060894,14.8904177,14.8904177,14.8904177,14.90272815,14.90272815,14.90272815,14.90272815,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867,15.1776867
384,"CIV","Cote d'Ivoire",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
191,"HRV","Croatia",6.21574002,6.21574002,6.230965121,6.234274871,6.234274871,6.397727126,6.397727126,6.453619799,6.490338331,7.480627909,7.488862234,7.619908554,7.620710995,7.654505436,7.961161086,7.654530512,7.961161086,9.102966636,9.200119928,9.208411811,9.380273608,9.380273608,9.380273608
192,"CUB","Cuba",4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068126902,4.068617468,4.068617468,8.600547695,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,8.722758246,9.220790416,9.220790416,9.220790416
196,"CYP","Cyprus",7.078619027,7.078619027,10.24071223,10.24071223,10.24071223,10.24071223,10.24071223,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
203,"CZE","Czech Republic",14.78876616,14.78876616,16.01795842,16.02360805,16.02360805,16.08151987,16.08151987,16.1057291,16.13381865,16.14301914,16.15334223,16.15719814,16.16697213,16.16705754,16.72699376,16.72328428,16.72699376,16.72908034,16.72919016,16.72928778,16.72958063,16.72958063,16.72958063
180,"COD","Dem. Rep. Congo",9.921455734,9.921455734,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,9.952509183,10.1136264,10.1136264,10.1136264,10.1579661
208,"DNK","Denmark",4.38821999,4.38821999,11.8142113,11.82379043,11.82379043,11.85899142,11.85899142,11.93688002,11.94213459,11.94787742,11.95945608,11.98526394,12.01521036,12.03278761,12.07263867,12.06159476,12.07263867,12.16680249,12.31713909,12.4815189,12.7062798,12.7062798,12.7062798
262,"DJI","Djibouti",0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526
212,"DMA","Dominica",14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751,14.47017751
214,"DOM","Dominican Republic",16.35236213,16.35236213,16.4481851,16.4481851,16.4481851,16.45089978,16.45089978,16.46961074,16.46961074,16.46961074,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544,16.49473544
218,"ECU","Ecuador",9.754597911,9.754597911,9.754597911,9.754597911,9.754597911,12.64836185,12.64836185,12.97633151,12.97633151,12.97633151,12.97633151,12.97633151,12.97633151,12.97633151,12.97633151,12.97633151,12.97633151,12.97633151,13.00429631,13.00429631,13.00429631,13.00429631,13.00429631
818,"EGY","Egypt",0.14989215,0.14989215,0.15034121,0.15034121,0.15034121,0.521214144,0.521214144,1.448837039,2.142976385,2.151164567,2.151164567,2.151164567,4.419100462,4.592034529,4.593719217,4.592034529,4.593719217,6.445654652,6.445654652,6.445654652,6.453011752,6.453011752,6.453011752
222,"SLV","El Salvador",0,0,0,0,0,0,0,0.029106951,0.029106951,0.029106951,0.029106951,0.029106951,0.029106951,0.029106951,0.029106951,0.029106951,0.029106951,0.279503446,0.491221284,0.553118373,0.676730247,0.67730783,0.67730783
226,"GNQ","Equatorial Guinea",5.332328236,5.332328236,5.332328236,5.332328236,5.332328236,5.332328236,5.332328236,5.332328236,5.332328236,5.332328236,17,17,17,17,17,17,17,17,17,17,17,17,17
232,"ERI","Eritrea",4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472,4.343268472
233,"EST","Estonia",2.182207631,2.182207631,2.264028541,2.26466932,2.26466932,3.188695413,3.188695413,4.637696659,5.457275697,5.795099053,6.063497268,6.522427944,6.747363634,6.808988943,12.57408184,10.06905393,12.57408184,16.80289491,17,17,17,17,17
231,"ETH","Ethiopia",13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,13.97089325,14.08354724,13.97089325,14.08354724,14.09901534,14.09901534,14.09901534,14.09901534,14.09901534,14.09901534
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515,0.248273515
242,"FJI","Fiji",0.614401549,0.614401549,0.614401549,0.614401549,0.614401549,0.614401549,0.614401549,1.022465915,1.022465915,1.029875356,1.064122189,1.686930394,1.696015508,2.042127608,3.095604344,3.068638783,3.095604344,3.106574651,3.106574651,3.106574651,3.106574651,3.106574651,3.106574651
246,"FIN","Finland",4.213382884,4.213382884,8.039813061,8.063943639,8.063943639,8.130671338,8.130671338,8.148963274,8.17086238,8.185981484,8.292339718,8.313116605,8.340929803,8.373884364,8.486222745,8.445198538,8.486222745,8.515267651,8.544903381,8.560947228,8.575520264,8.582794381,8.582794381
250,"FRA","France",11.7902167,11.7902167,11.9811032,11.98933178,11.98933178,12.25543103,12.25543103,12.61568527,12.61568527,13.60806445,13.60899905,13.77365315,13.77492807,13.77513632,14.39364981,14.39204854,14.39364981,14.39946696,14.40301871,14.72558403,14.72558403,14.72558403,14.72558403
254,"GUF","French Guiana",1.728874845,1.728874845,1.73044411,1.73044411,1.73044411,4.931673292,4.931673292,5.332685654,12.49475414,12.49475414,12.58184968,13.28624841,13.28624841,13.28624841,13.28675253,13.28624841,13.28675253,17,17,17,17,17,17
258,"PYF","French Polynesia",0.82980226,0.82980226,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386,1.008945386
266,"GAB","Gabon",2.402497025,2.402497025,2.402497025,2.402497025,2.402497025,2.402497025,2.402497025,2.402497025,2.402497025,2.842686547,2.842686547,2.842686547,9.029000625,14.42254421,14.42254421,14.42254421,14.42254421,14.42254421,14.42254421,14.42254421,14.42254421,14.42254421,14.42254421
270,"GMB","Gambia",0.611450022,0.611450022,0.611450022,0.623628237,0.623628237,0.623628237,0.623628237,0.927602498,0.927602498,0.927602498,0.927602498,5.886833196,5.886833196,5.886833196,5.886833196,5.886833196,5.886833196,5.886833196,5.888682481,5.888682481,5.888682481,5.888682481,5.888682481
